bin,jobnum,year,units,parktype,reqspaces,waivertype,waiverspaces
1090722,121190335,2019,2,required - high density,1,waiver - small/narrow,0
1052983,121190460,2020,12,required - high density,5,waiver - small num of spaces,0
1090142,121191432,2020,387,required - high density,155,waiver - small num of spaces,140
1090354,121191557,2020,75,required - high density,30,waiver - small num of spaces,15
1089702,121192164,2017,32,required - high density,16,waiver - small/narrow,0
1089917,121192636,2017,75,required - high density,30,waiver - small num of spaces,15
1089853,121192887,2019,72,required - high density,36,waiver - small/narrow,0
1089291,121192985,2019,21,required - high density,11,waiver - small/narrow,0
1064951,121192994,2020,22,required - high density,11,waiver - small/narrow,0
1090103,121204053,2020,104,required - high density,42,waiver - small num of spaces,27
1053812,121204124,2020,12,required - high density,6,waiver - small/narrow,0
1090703,121235136,2019,16,required - high density,5,waiver - small num of spaces,0
1090750,121237090,2018,8,required - high density,2,waiver - small num of spaces,0
1089304,121325734,2016,115,required - high density,58,waiver - small num of spaces,43
1090486,121326421,2020,30,required - high density,12,waiver - small num of spaces,0
1089321,121329099,2017,20,required - high density,10,waiver - small/narrow,0
1088903,121329446,2014,2,required - high density,1,waiver - small num of spaces,0
1088904,121329455,2014,2,required - high density,1,waiver - small num of spaces,0
1088902,121329464,2014,2,required - high density,1,waiver - small num of spaces,0
1088905,121329641,2018,58,required - high density,23,waiver - small/narrow,0
1090455,121330363,2017,20,required - high density,6,waiver - small num of spaces,0
1090762,121330489,2017,15,required - high density,8,waiver - small/narrow,0
1090324,121333173,2017,19,required - high density,10,waiver - small/narrow,0
1090323,121333182,2017,12,required - high density,6,waiver - small/narrow,0
1089808,121333333,2016,430,required - high density,215,waiver - small num of spaces,200
1090191,121333609,2018,52,required - high density,21,waiver - small num of spaces,6
1089720,121335046,2015,19,required - high density,10,waiver - small/narrow,0
1089943,121340691,2019,12,required - high density,6,waiver - small/narrow,0
1089848,121359500,2015,5,required - high density,2,waiver - small num of spaces,0
1090566,121359519,2015,8,required - high density,2,waiver - small num of spaces,0
1089849,121359528,2015,10,required - high density,3,waiver - small num of spaces,0
1089839,121359537,2015,8,required - high density,2,waiver - small num of spaces,0
1089838,121543133,2016,32,required - high density,16,waiver - small/narrow,0
1090250,121562950,2017,21,required - high density,8,waiver - small num of spaces,0
1051691,121600963,2015,13,required - high density,7,waiver - small/narrow,0
1090787,121619757,2018,20,required - high density,10,waiver - small/narrow,0
1090649,121625624,2016,2,required - high density,1,waiver - small/narrow,0
1052157,121626892,2018,15,required - high density,6,waiver - small num of spaces,0
1090593,121629390,2015,14,required - high density,7,waiver - small/narrow,0
1090252,121683758,2017,10,required - high density,3,waiver - small num of spaces,0
1090255,121724250,2017,14,required - high density,7,waiver - small/narrow,0
1090118,121761913,2016,62,required - high density,25,waiver - small/narrow,0
1089415,121776391,2017,23,required - high density,7,waiver - small num of spaces,0
1089715,121776774,2015,2,required - high density,1,waiver - small/narrow,0
1090594,121824400,2018,16,required - high density,8,waiver - small/narrow,0
1089378,121851834,2017,54,required - high density,27,waiver - small/narrow,0
1090253,121908132,2016,60,required - high density,24,waiver - small num of spaces,9
1090673,122068467,2019,23,required - high density,9,waiver - small num of spaces,0
1089662,122082030,2017,108,required - high density,43,waiver - small num of spaces,28
1090828,122238248,2019,24,required - high density,12,waiver - small/narrow,0
1089444,122338648,2019,16,required - high density,8,waiver - small/narrow,0
1089812,122378701,2019,20,required - high density,10,waiver - small/narrow,0
1089737,122433544,2018,36,required - high density,18,waiver - small/narrow,0
1090478,122440796,2018,36,required - high density,18,waiver - small/narrow,0
1090834,122475482,2019,7,required - high density,4,waiver - small/narrow,0
1090714,122523876,2018,6,required - high density,2,waiver - small num of spaces,0
1089750,122528345,2018,2,required - high density,1,waiver - small num of spaces,0
1090534,122620333,2019,46,required - high density,18,waiver - small num of spaces,3
1075486,122733961,2020,58,required - high density,29,waiver - small/narrow,0
1090157,122733970,2018,2,required - high density,1,waiver - small/narrow,0
1090357,122847517,2020,103,required - high density,52,waiver - small num of spaces,37
1090497,122878341,2019,8,required - high density,4,waiver - small/narrow,0
1090131,122878350,2019,2,required - high density,1,waiver - small num of spaces,0
1090675,122879233,2020,153,required - high density,46,waiver - small num of spaces,31
1090322,122956578,2019,29,required - high density,15,waiver - small/narrow,0
1053478,123519022,2020,141,required - high density,28,waiver - small num of spaces,13
2122948,200609190,2010,1,required - high density,1,waiver - small num of spaces,0
2122946,200609207,2010,1,required - high density,1,waiver - small num of spaces,0
2122943,200609216,2010,1,required - high density,1,waiver - small num of spaces,0
2122945,200609225,2010,1,required - high density,1,waiver - small num of spaces,0
2122944,200609234,2011,1,required - high density,1,waiver - small num of spaces,0
2098347,200615815,2016,2,required - high density,1,waiver - small num of spaces,0
2115463,200621416,2014,3,required - high density,1,waiver - small num of spaces,0
2115920,200621425,2012,3,required - high density,1,waiver - small num of spaces,0
2115921,200621434,2012,3,required - high density,1,waiver - small num of spaces,0
2115477,200621443,2012,3,required - high density,1,waiver - small num of spaces,0
2115922,200621452,2012,3,required - high density,1,waiver - small num of spaces,0
2115545,200621461,2012,3,required - high density,1,waiver - small num of spaces,0
2115474,200621498,2012,3,required - high density,1,waiver - small num of spaces,0
2103243,200621513,2012,3,required - high density,1,waiver - small num of spaces,0
2103245,200621522,2012,3,required - high density,1,waiver - small num of spaces,0
2103244,200621531,2012,3,required - high density,1,waiver - small num of spaces,0
2103246,200621540,2012,3,required - high density,1,waiver - small num of spaces,0
2103247,200621559,2012,3,required - high density,1,waiver - small num of spaces,0
2103248,200621568,2012,3,required - high density,1,waiver - small num of spaces,0
2103249,200621577,2012,3,required - high density,1,waiver - small num of spaces,0
2103776,200621595,2010,3,required - high density,1,waiver - small num of spaces,0
2103777,200621602,2012,3,required - high density,1,waiver - small num of spaces,0
2103780,200621639,2013,3,required - high density,1,waiver - small num of spaces,0
2103783,200621666,2012,3,required - high density,1,waiver - small num of spaces,0
2103784,200621675,2012,3,required - high density,1,waiver - small num of spaces,0
2103785,200621684,2012,3,required - high density,1,waiver - small num of spaces,0
2103252,200621719,2012,3,required - high density,1,waiver - small num of spaces,0
2103253,200621728,2012,3,required - high density,1,waiver - small num of spaces,0
2103254,200621737,2012,3,required - high density,1,waiver - small num of spaces,0
2103255,200621746,2012,3,required - high density,1,waiver - small num of spaces,0
2103256,200621755,2012,3,required - high density,1,waiver - small num of spaces,0
2103251,200621764,2012,3,required - high density,1,waiver - small num of spaces,0
2116555,200642634,2011,3,required - high density,1,waiver - small num of spaces,0
2116556,200642643,2011,3,required - high density,1,waiver - small num of spaces,0
2116558,200642661,2011,3,required - high density,1,waiver - small num of spaces,0
2121161,200643795,2011,6,required - high density,3,waiver - small num of spaces,0
2114761,200690724,2011,8,required - high density,4,waiver - small num of spaces,0
2007179,200692928,2019,2,required - high density,1,waiver - small num of spaces,0
2103520,200699903,2015,2,required - high density,1,waiver - small num of spaces,0
2103519,200700009,2015,2,required - high density,1,waiver - small num of spaces,0
2004591,200700982,2015,2,required - high density,1,waiver - small num of spaces,0
2117526,200768099,2011,3,required - high density,1,waiver - small num of spaces,0
2117525,200768115,2011,3,required - high density,1,waiver - small num of spaces,0
2125884,200791223,2013,6,required - high density,2,waiver - small num of spaces,0
2085791,200795899,2010,12,required - high density,4,waiver - small num of spaces,0
2118426,200797414,2015,16,required - high density,5,waiver - small num of spaces,0
2093529,200810239,2013,3,required - high density,2,waiver - small num of spaces,0
2114766,200810248,2013,3,required - high density,2,waiver - small num of spaces,0
2114767,200810257,2012,3,required - high density,2,waiver - small num of spaces,0
2042089,200818516,2014,3,required - high density,2,waiver - small num of spaces,0
2117942,200818758,2010,3,required - high density,2,waiver - small num of spaces,0
2013138,200840769,2020,11,required - high density,3,waiver - small num of spaces,0
2116499,200855324,2012,3,required - high density,1,waiver - small num of spaces,0
2119386,200855333,2012,3,required - high density,1,waiver - small num of spaces,0
2119387,200855342,2012,3,required - high density,1,waiver - small num of spaces,0
2119388,200855351,2012,3,required - high density,1,waiver - small num of spaces,0
2057998,200860559,2014,7,required - high density,4,waiver - small num of spaces,0
2128366,200860568,2014,7,required - high density,4,waiver - small num of spaces,0
2128366,200860577,2014,7,required - high density,4,waiver - small num of spaces,0
2117651,200864369,2010,3,required - high density,2,waiver - small num of spaces,0
2116893,200864378,2010,3,required - high density,2,waiver - small num of spaces,0
2116894,200864387,2010,3,required - high density,2,waiver - small num of spaces,0
2116895,200864396,2010,3,required - high density,2,waiver - small num of spaces,0
2116890,200864403,2010,3,required - high density,2,waiver - small num of spaces,0
2116889,200864412,2010,3,required - high density,2,waiver - small num of spaces,0
2116519,200865723,2012,4,required - high density,2,waiver - small/narrow,0
2115189,200874553,2020,1,required - low density,2,waiver - small/narrow,0
2115190,200874562,2020,1,required - low density,2,waiver - small/narrow,0
2124478,200878014,2013,3,required - high density,2,waiver - small num of spaces,0
2116478,200897681,2012,8,required - high density,4,waiver - small num of spaces,0
2115905,200899876,2017,3,required - high density,1,waiver - small num of spaces,0
2126952,200901319,2018,2,required - high density,1,waiver - small num of spaces,0
2124518,200902050,2011,8,required - high density,4,waiver - small num of spaces,0
2120461,200905565,2016,3,required - high density,1,waiver - small num of spaces,0
2084150,200906813,2013,9,required - high density,5,waiver - small num of spaces,0
2116369,200907073,2010,2,required - high density,1,waiver - small num of spaces,0
2116367,200907082,2010,2,required - high density,1,waiver - small num of spaces,0
2114495,200907563,2017,3,required - high density,1,waiver - small num of spaces,0
2116606,200908447,2011,6,required - high density,3,waiver - small num of spaces,0
2114942,200909044,2017,3,required - high density,2,waiver - small num of spaces,0
2119089,200909703,2017,3,required - high density,1,waiver - small num of spaces,0
2124748,200909712,2017,3,required - high density,1,waiver - small num of spaces,0
2128800,200911120,2017,1,required - low density,2,waiver - small/narrow,0
2128801,200911139,2017,1,required - low density,2,waiver - small/narrow,0
2115856,200915554,2012,3,required - high density,2,waiver - small num of spaces,0
2115532,200916385,2011,3,required - high density,2,waiver - small num of spaces,0
2116879,200916394,2011,3,required - high density,2,waiver - small num of spaces,0
2116876,200916401,2011,3,required - high density,2,waiver - small num of spaces,0
2116880,200916410,2011,3,required - high density,2,waiver - small num of spaces,0
2117193,200916429,2011,3,required - high density,2,waiver - small num of spaces,0
2124437,200917026,2013,31,required - high density,22,waiver - small num of spaces,17
2129006,200919159,2013,32,required - high density,10,waiver - small num of spaces,5
2110578,200923661,2012,3,required - high density,2,waiver - small num of spaces,0
2120108,200925810,2010,8,required - high density,4,waiver - small num of spaces,0
2122917,200928979,2012,48,required - high density,34,waiver - small num of spaces,29
2129269,200929237,2019,8,required - high density,2,waiver - small num of spaces,0
2119730,200931947,2013,7,required - high density,4,waiver - small num of spaces,0
2116378,200935391,2012,8,required - high density,4,waiver - small num of spaces,0
2117675,200936979,2010,6,required - high density,3,waiver - small num of spaces,0
2117674,200936988,2010,6,required - high density,3,waiver - small num of spaces,0
2117653,200937166,2010,8,required - high density,4,waiver - small num of spaces,0
2117652,200937175,2010,8,required - high density,4,waiver - small num of spaces,0
2129058,200939556,2016,7,required - high density,4,waiver - small num of spaces,0
2128794,200939565,2016,7,required - high density,4,waiver - small num of spaces,0
2124387,200939654,2013,7,required - high density,4,waiver - small num of spaces,0
2121160,200939663,2010,7,required - high density,4,waiver - small num of spaces,0
2118460,200946833,2012,2,required - high density,1,waiver - small num of spaces,0
2118459,200946842,2012,3,required - high density,1,waiver - small num of spaces,0
2119088,200946851,2012,3,required - high density,1,waiver - small num of spaces,0
2084180,200973376,2012,10,required - high density,5,waiver - small num of spaces,0
2114072,200975025,2011,3,required - high density,2,waiver - small num of spaces,0
2117198,200975579,2017,6,required - high density,3,waiver - small num of spaces,0
2115305,200976578,2014,2,required - high density,1,waiver - small num of spaces,0
2115306,200976587,2014,2,required - high density,1,waiver - small num of spaces,0
2115307,200976596,2014,2,required - high density,1,waiver - small num of spaces,0
2115308,200976603,2014,2,required - high density,1,waiver - small num of spaces,0
2128931,200978567,2018,130,required - high density,65,waiver - small num of spaces,60
2115092,200979469,2010,2,required - high density,1,waiver - small/narrow,0
2115091,200979478,2010,2,required - high density,1,waiver - small/narrow,0
2115090,200979487,2010,2,required - high density,1,waiver - small/narrow,0
2117406,200981330,2017,3,required - high density,2,waiver - small num of spaces,0
2127131,200982357,2016,152,required - high density,61,waiver - small num of spaces,46
2113517,200983187,2014,2,required - high density,1,waiver - small num of spaces,0
2114501,200984916,2011,3,required - high density,1,waiver - small num of spaces,0
2114500,200984925,2011,3,required - high density,1,waiver - small num of spaces,0
2114499,200984934,2011,3,required - high density,1,waiver - small num of spaces,0
2115937,200986488,2019,3,required - high density,1,waiver - small num of spaces,0
2116070,200988280,2017,2,required - high density,1,waiver - small num of spaces,0
2117269,200994647,2010,3,required - high density,2,waiver - small num of spaces,0
2115485,200996137,2010,84,required - high density,126,waiver - small num of spaces,121
2118468,200997029,2011,3,required - high density,1,waiver - small num of spaces,0
2117741,200997038,2011,3,required - high density,1,waiver - small num of spaces,0
2116657,200997047,2011,3,required - high density,1,waiver - small num of spaces,0
2116515,200997056,2012,3,required - high density,1,waiver - small num of spaces,0
2116516,200997065,2011,3,required - high density,1,waiver - small num of spaces,0
2082157,200998108,2010,1,required - low density,2,waiver - small/narrow,0
2116258,200998983,2017,2,required - high density,1,waiver - small num of spaces,0
2117184,201000503,2010,6,required - high density,3,waiver - small num of spaces,0
2117192,201000512,2010,6,required - high density,3,waiver - small num of spaces,0
2117183,201000521,2010,6,required - high density,3,waiver - small num of spaces,0
2126725,201003653,2018,4,required - high density,2,waiver - small num of spaces,0
2115854,201006017,2018,3,required - high density,2,waiver - small num of spaces,0
2124479,201007169,2013,3,required - high density,2,waiver - small num of spaces,0
2114829,201009737,2010,71,required - high density,43,waiver - small num of spaces,38
2117673,201009844,2015,34,required - high density,17,waiver - small num of spaces,12
2116236,201037608,2011,3,required - high density,1,waiver - small num of spaces,0
2120254,201037617,2011,3,required - high density,1,waiver - small num of spaces,0
2120866,201041826,2010,3,required - high density,1,waiver - small num of spaces,0
2124491,201045127,2012,2,required - high density,1,waiver - small num of spaces,0
2120125,201047946,2011,3,required - high density,2,waiver - small/narrow,0
2120124,201047955,2011,3,required - high density,2,waiver - small/narrow,0
2120122,201047964,2011,3,required - high density,2,waiver - small/narrow,0
2088141,201047982,2011,2,required - high density,1,waiver - small/narrow,0
2116435,201047991,2011,2,required - high density,1,waiver - small/narrow,0
2116505,201048160,2019,1,required - low density,2,waiver - small/narrow,0
2119230,201050389,2012,3,required - high density,1,waiver - small num of spaces,0
2119231,201050398,2012,3,required - high density,1,waiver - small num of spaces,0
2119232,201050405,2012,3,required - high density,1,waiver - small num of spaces,0
2119234,201050414,2012,3,required - high density,1,waiver - small num of spaces,0
2119235,201050423,2012,3,required - high density,1,waiver - small num of spaces,0
2007136,201051057,2012,2,required - high density,1,waiver - small num of spaces,0
2003507,201051930,2011,4,required - high density,1,waiver - small num of spaces,0
2120194,201051949,2011,2,required - high density,1,waiver - small num of spaces,0
2124522,201052458,2013,8,required - high density,4,waiver - small num of spaces,0
2084534,201052467,2013,8,required - high density,4,waiver - small num of spaces,0
2124783,201052859,2010,3,required - high density,1,waiver - small num of spaces,0
2124784,201052868,2010,3,required - high density,1,waiver - small num of spaces,0
2124785,201052877,2010,3,required - high density,1,waiver - small num of spaces,0
2116191,201053019,2013,3,required - high density,1,waiver - small num of spaces,0
2120123,201054946,2011,3,required - high density,2,waiver - small/narrow,0
2004767,201057088,2014,2,required - high density,1,waiver - small num of spaces,0
2063032,201057738,2012,3,required - high density,2,waiver - small num of spaces,0
2124516,201057747,2012,3,required - high density,2,waiver - small num of spaces,0
2126486,201057872,2016,2,required - high density,1,waiver - small num of spaces,0
2124503,201057881,2013,2,required - high density,1,waiver - small num of spaces,0
2116239,201059629,2011,2,required - high density,1,waiver - small num of spaces,0
2120529,201060895,2010,8,required - high density,2,waiver - small num of spaces,0
2116238,201061091,2011,2,required - high density,1,waiver - small num of spaces,0
2124760,201061288,2020,3,required - high density,1,waiver - small num of spaces,0
2116237,201061929,2011,2,required - high density,1,waiver - small num of spaces,0
2116582,201065550,2010,2,required - high density,1,waiver - small num of spaces,0
2116581,201065578,2010,2,required - high density,1,waiver - small num of spaces,0
2120247,201066461,2010,2,required - high density,1,waiver - small num of spaces,0
2127594,201066489,2015,40,required - high density,28,waiver - small num of spaces,23
2126608,201069226,2013,20,required - high density,6,waiver - small num of spaces,1
2010464,201071794,2010,8,required - high density,2,waiver - small num of spaces,0
2114649,201077217,2010,3,required - high density,1,waiver - small num of spaces,0
2118175,201078840,2010,48,required - high density,29,waiver - small num of spaces,24
2119237,201079812,2011,3,required - high density,1,waiver - small num of spaces,0
2119236,201079821,2011,3,required - high density,1,waiver - small num of spaces,0
2119002,201083479,2012,2,required - high density,1,waiver - small num of spaces,0
2119003,201083488,2012,2,required - high density,1,waiver - small num of spaces,0
2119004,201083497,2012,3,required - high density,1,waiver - small num of spaces,0
2119008,201083512,2011,3,required - high density,1,waiver - small num of spaces,0
2119007,201083521,2011,3,required - high density,1,waiver - small num of spaces,0
2119006,201083530,2011,3,required - high density,1,waiver - small num of spaces,0
2119005,201083549,2012,3,required - high density,1,waiver - small num of spaces,0
2007566,201088982,2010,27,required - high density,11,waiver - small/narrow,0
2096987,201089277,2011,3,required - high density,2,waiver - small num of spaces,0
2096988,201089286,2011,3,required - high density,2,waiver - small num of spaces,0
2124508,201089464,2011,3,required - high density,2,waiver - small num of spaces,0
2124505,201089473,2011,3,required - high density,2,waiver - small num of spaces,0
2124507,201089482,2011,3,required - high density,2,waiver - small num of spaces,0
